"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AYM00089022","1957-06","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","25","5,S","0","5,S","0","5,S","","","19570620",",5,S","","","-7.8","5,S,20,","","","","","","","-17.82","5,,,S","",""
"AYM00089022","1957-10","-75.45","-26.217","30.0","HALLEY, AY","","","","","27","2,S","29","2,S","","","","","","","19571026",",2,S","","","-36.1","2,S,26,","","","","","","","","","","","-25.90","2,,,S"
"AYM00089022","1957-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","10","3,S","27","3,S","","","","","","","19571104",",3,S","","","-28.9","3,S,04,","","","","","","","","","","","-15.39","3,,,S"
"AYM00089022","1957-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","3,S","28","3,S","26","5,S","0","5,S","0","5,S","19571211",",3,S","19571221","+,5,S","-13.9","3,S,11,","-1.1","5,S,21,+","","","","","-5.42","8,S","-2.74","5,,,S","-8.09","3,,,S"
"AYM00089022","1958-02","-75.45","-26.217","30.0","HALLEY, AY","","","","","1","2,S","26","2,S","","","","","","","19580228",",2,S","","","-25.0","2,S,28,","","","","","","","","","","","-12.67","2,,,S"
"AYM00089022","1958-03","-75.45","-26.217","30.0","HALLEY, AY","","","","","15","5,S","26","5,S","","","","","","","19580331",",5,S","","","-32.2","5,S,31,","","","","","","","","","","","-21.57","5,,,S"
"AYM00089022","1958-04","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","26","4,S","0","4,S","0","4,S","","","19580408","+,4,S","","","-11.1","4,S,08,+","","","","","","","-18.59","4,,,S","",""
"AYM00089022","1985-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","4,S","27","4,S","","","","","","","19850122",",4,S","","","-16.3","4,S,22,","","","","","","","","","","","-7.94","4,,,S"
"AYM00089022","1985-10","-75.45","-26.217","30.0","HALLEY, AY","","","","","24","5,S","26","5,S","","","","","","","19851010",",5,S","","","-39.3","5,S,10,","","","","","","","","","","","-26.91","5,,,S"
"AYM00089022","1985-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","4","1,S","30","1,S","","","","","","","19851202",",1,S","","","-20.6","1,S,02,","","","","","","","","","","","-9.78","1,,,S"
"AYM00089022","1986-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","3,S","28","3,S","","","","","","","19860130",",3,S","","","-16.1","3,S,30,","","","","","","","","","","","-8.50","3,,,S"
"AYM00089022","1986-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","4,S","27","4,S","","","","","","","19861212",",4,S","","","-12.1","4,S,12,","","","","","","","","","","","-8.02","4,,,S"
"AYM00089022","1987-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","1,S","30","1,S","","","","","","","19870128",",1,S","","","-13.4","1,S,28,","","","","","","","","","","","-7.47","1,,,S"
"AYM00089022","1987-10","-75.45","-26.217","30.0","HALLEY, AY","","","","","26","4,S","27","4,S","","","","","","","19871009",",4,S","","","-38.9","4,S,09,","","","","","","","","","","","-28.57","4,,,S"
"AYM00089022","1987-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","4,S","27","4,S","","","","","","","19871206",",4,S","","","-13.0","4,S,06,","","","","","","","","","","","-7.55","4,,,S"
"AYM00089022","1988-06","-75.45","-26.217","30.0","HALLEY, AY","","","","","24","5,S","25","5,S","","","","","","","19880630",",5,S","","","-42.9","5,S,30,","","","","","","","","","","","-33.04","5,,,S"
"AYM00089022","1988-07","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","26","5,S","0","5,S","0","5,S","","","19880711",",5,S","","","-12.3","5,S,11,","","","","","","","-25.96","5,,,S","",""
"AYM00089022","1988-10","-75.45","-26.217","30.0","HALLEY, AY","","","","","25","4,S","27","4,S","","","","","","","19881005",",4,S","","","-33.9","4,S,05,","","","","","","","","","","","-25.39","4,,,S"
"AYM00089022","1988-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","9","3,S","27","3,S","","","","","","","19881110",",3,S","","","-23.6","3,S,10,","","","","","","","","","","","-15.69","3,,,S"
"AYM00089022","1988-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","4,S","27","4,S","","","","","","","19881205",",4,S","","","-15.5","4,S,05,","","","","","","","","","","","-7.43","4,,,S"
"AYM00089022","1989-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","8","3,S","27","3,S","","","","","","","19891110",",3,S","","","-25.8","3,S,10,","","","","","","","","","","","-15.45","3,,,S"
"AYM00089022","1989-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","1,S","30","1,S","","","","","","","19891206",",1,S","","","-14.3","1,S,06,","","","","","","","","","","","-7.53","1,,,S"
"AYM00089022","1990-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","2,S","29","2,S","","","","","","","19900120",",2,S","","","-12.8","2,S,20,","","","","","","","","","","","-6.28","2,,,S"
"AYM00089022","1990-02","-75.45","-26.217","30.0","HALLEY, AY","","","","","9","3,S","25","3,S","","","","","","","19900226",",3,S","","","-26.2","3,S,26,","","","","","","","","","","","-15.79","3,,,S"
"AYM00089022","1990-09","-75.45","-26.217","30.0","HALLEY, AY","","","","","25","5,S","25","5,S","","","","","","","19900923",",5,S","","","-44.0","5,S,23,","","","","","","","","","","","-33.37","5,,,S"
"AYM00089022","1990-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","7","1,S","29","1,S","","","","","","","19901102",",1,S","","","-29.8","1,S,02,","","","","","","","","","","","-11.42","1,,,S"
"AYM00089022","1990-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","1,S","30","1,S","","","","","","","19901207",",1,S","","","-13.7","1,S,07,","","","","","","","","","","","-7.09","1,,,S"
"AYM00089022","1991-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","2,S","29","2,S","","","","","","","19910131",",2,S","","","-13.0","2,S,31,","","","","","","","","","","","-7.41","2,,,S"
"AYM00089022","1991-02","-75.45","-26.217","30.0","HALLEY, AY","","","","","3","5,S","23","5,S","","","","","","","19910227",",5,S","","","-22.4","5,S,27,","","","","","","","","","","","-12.30","5,,,S"
"AYM00089022","1991-04","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","25","5,S","0","5,S","0","5,S","","","19910427",",5,S","","","-7.4","5,S,27,","","","","","","","-20.20","5,,,S","",""
"AYM00089022","1991-07","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","26","5,S","0","5,S","0","5,S","","","19910705",",5,S","","","-8.3","5,S,05,","","","","","","","-21.63","5,,,S","",""
"AYM00089022","1991-09","-75.45","-26.217","30.0","HALLEY, AY","","","","","24","4,S","26","4,S","","","","","","","19910909",",4,S","","","-39.8","4,S,09,","","","","","","","","","","","-30.02","4,,,S"
"AYM00089022","1993-07","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","26","5,S","0","5,S","0","5,S","","","19930729",",5,S","","","-16.8","5,S,29,","","","","","","","-27.37","5,,,S","",""
"AYM00089022","1993-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","8","5,S","25","5,S","","","","","","","19931102",",5,S","","","-24.9","5,S,02,","","","","","","","","","","","-13.55","5,,,S"
"AYM00089022","1994-02","-75.45","-26.217","30.0","HALLEY, AY","","","","","4","3,S","25","3,S","","","","","","","19940227",",3,S","","","-30.0","3,S,27,","","","","","","","","","","","-12.00","3,,,S"
"AYM00089022","1994-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","12","5,S","25","5,S","","","","","","","19941102",",5,S","","","-30.5","5,S,02,","","","","","","","","","","","-17.97","5,,,S"
"AYM00089022","1994-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","2,S","29","2,S","","","","","","","19941208",",2,S","","","-17.3","2,S,08,","","","","","","","","","","","-10.92","2,,,S"
"AYM00089022","1996-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","2,S","29","2,S","","","","","","","19960117",",2,S","","","-13.2","2,S,17,","","","","","","","","","","","-6.42","2,,,S"
"AYM00089022","1996-02","-75.45","-26.217","30.0","HALLEY, AY","","","","","5","4,S","25","4,S","","","","","","","19960220",",4,S","","","-21.8","4,S,20,","","","","","","","","","","","-10.42","4,,,S"
"AYM00089022","1996-11","-75.45","-26.217","30.0","HALLEY, AY","","","","","2","2,S","28","2,S","","","","","","","19961102",",2,S","","","-23.7","2,S,02,","","","","","","","","","","","-12.16","2,,,S"
"AYM00089022","1996-12","-75.45","-26.217","30.0","HALLEY, AY","","","","","0","3,S","28","3,S","","","","","","","19961211",",3,S","","","-14.0","3,S,11,","","","","","","","","","","","-6.77","3,,,S"
"AYM00089022","1997-01","-75.45","-26.217","30.0","HALLEY, AY","","","","","","","","","17","4,S","0","4,S","0","4,S","","","19970106",",4,S","","","1.7","4,S,06,","","","","","","","-1.13","4,,,S","",""
"AYM00089022","1997-10","-75.45","-26.217","30.0","HALLEY, AY","","","","","26","3,S","28","3,S","","","","","","","19971007",",3,S","","","-38.5","3,S,07,","","","","","","","","","","","-27.25","3,,,S"
